Kanji,Word,Meaning,Meaning_FR,Meaning_KR
飲,清涼飲料水,soft drink,boisson gazeuse,청량 음료
飲,飲み食い,"food and drink, eating and drinking","nourriture et boissons, manger et boire","음식과 음료, 먹고 마시는"
飲,飲む,"to drink, to gulp, to swallow; to smoke (tobacco); to engulf, to overwhelm; to keep down, to suppress; to accept (e.g. demand, condition); to make light of, to conceal","à boire, à avaler, à avaler; fumer (tabac); d’engloutir, de submerger; de garder bas, de supprimer; à accepter (p. ex. demande, condition); pour faire la lumière de, pour dissimuler","마시고, 삼키고, 삼키기; 담배를 피우기 위해 (담배); 삼키고, 압도하기; 아래로 유지하려면 억제합니다. 수락(예: 수요, 조건); 빛을 만들기 위해, 은폐"
飲,飲ませる,"to make somebody drink, to give someone a drink","pour faire boire quelqu’un, pour donner un verre à quelqu’un","누군가가 마실 수 있도록, 누군가에게 음료를 제공하기 위해"
牛,牛,"cattle, cow, ox, oxen; beef; Chinese ""Ox"" constellation (one of the 28 mansions)","bovins, vaches, bœufs, bœufs; boeuf; Constellation chinoise ""Ox"" (l’une des 28 demeures)","소, 소, 소, 소; 쇠고기; 중국어 ""황소""별자리 (28 저택 중 하나)"
牛,牛肉,beef,Boeuf,쇠고기
牛,牛乳,(cow's) milk,(vache) lait,(소) 우유
牛,牛歩,"snail's pace, slow progress","rythme de l’escargot, progrès lent","달팽이의 속도, 느린 진행"
牛,和牛,"Wagyu beef, Japanese beef","Boeuf Wagyu, boeuf japonais","와규, 일본소고기"
牛,子牛,calf,Veau,송아지
牛,乳牛,"milk cow, dairy cattle, milch cow","vache de lait, bovins laitiers, vache milch","우유 암소, 낙농 가축, 밀크 암소"
牛,闘牛,"bullfighting, bullfight","tauromachie, corrida","투우, 투우"
牛,肉牛,beef cattle,Bovins,쇠고기 가축
牛,牛舎,"cow shed, cattle barn","hangar à vaches, étable à bétail","소 창고, 가축 헛간"
魚,魚,fish,Poisson,물고기
魚,魚介類,"marine products, seafood, fish and shellfish","produits marins, fruits de mer, poissons et crustacés","수산물, 해산물, 어류 및 조개류"
魚,金魚,goldfish,Poisson rouge,금붕어
魚,魚類,the fishes,les poissons,물고기
魚,稚魚,fry (young fish),friture (jeunes poissons),튀김 (어린 물고기)
魚,熱帯魚,tropical fish,poissons tropicaux,열대어
魚,鮮魚,fresh fish,poisson frais,신선한 생선
魚,魚屋,"fish market, fish dealer","marché aux poissons, marchand de poisson",어시장·생선판매업자
魚,淡水魚,freshwater fish,poissons d’eau douce,민물고기
魚,小魚,"small fish, fry","petits poissons, alevins","작은 생선, 튀김"
兄,兄,older brother,frère aîné,오빠
兄,兄弟,"siblings, brothers and sisters","frères et sœurs, frères et sœurs","형제 자매, 형제 자매"
兄,兄ちゃん,"(my) older brother; sonny (with a nuance of suspicion), lad","(mon) frère aîné; sonny (avec une nuance de suspicion), garçon","(내) 오빠; 소니 (의심의 뉘앙스와 함께), 소년"
兄,兄さん,"older brother, elder brother; brother (as older-brother figure in friendly and or work relationship); (vocative) young man, buddy, fella, laddie","frère aîné, frère aîné; frère (en tant que figure de frère aîné dans une relation amicale ou professionnelle); (vocative) jeune homme, copain, gars, garçon","오빠, 오빠; 형제 (친근한 또는 직장 관계에서 오빠 그림으로); (vocative) 젊은 남자, 친구, 펠라, 숙녀"
兄,実兄,one's own elder brother,son propre frère aîné,자신의 오빠
兄,兄貴,"one's senior, elder brother","son aîné, frère aîné","선배, 오빠"
兄,義兄,brother-in-law,beau-frère,형부
兄,長兄,eldest brother,frère aîné,장남
兄,兄弟子,"senior schoolmate, senior apprentice","camarade de classe senior, apprenti senior","고등학교 학생, 수석 견습생"
兄,兄,"elder brother; pronoun or suffix used in reference to an older brother figure, Mister, Mr","frère aîné; pronom ou suffixe utilisé en référence à une figure frère aîné, Monsieur, M.","오빠; 대명사 또는 접미사는 오빠 그림을 참조하는 데 사용, 미스터, 씨"
勉,勉強,"study; diligence; discount, reduction","étude; diligence; réduction, réduction","연구; 부지런함; 할인, 할인"
勉,勤勉,"industry, diligence","industrie, diligence","산업, 근면"
勉,勉学,"study, pursuit of knowledge","étude, la poursuite des connaissances","연구, 지식추구"
勉,がり勉,"drudge, grind, someone who studies too much, cram-study (for exam, etc.)","drudge, grind, quelqu’un qui étudie trop, cram-étude (pour l’examen, etc))","drudge, 갈기, 너무 많이 공부하는 사람, 벼락 공부 (시험 등)"
勉,勉める,"to endeavor (endeavour), to try, to strive, to make an effort, to exert oneself, to be diligent","d’efforts (d’efforts), d’essayer, de s’efforcer, de faire un effort, de s’exercer, d’être diligent","노력(노력),노력, 노력, 노력, 노력, 노력, 부지런히"
勉,勉めて,"as much as possible, diligently; make an effort!, work hard!","autant que possible, diligemment; faire un effort!, travailler dur!","가능한 한 부지런히; 노력을!, 열심히 일!"
勉,我利勉,"drudge, grind, someone who studies too much, cram-study (for exam, etc.)","drudge, grind, quelqu’un qui étudie trop, cram-étude (pour l’examen, etc))","drudge, 갈기, 너무 많이 공부하는 사람, 벼락 공부 (시험 등)"
勉,俄勉強,cramming,Bachotage,Cramming
勉,刻苦勉励,"being arduous, working diligently enduring hardships","être ardu, travailler avec diligence des difficultés durables","힘들고, 열심히 일하는 것은 고난을 견뎌내고 있습니다."
勉,試験勉強,cramming for exams,bourrage pour les examens,시험을 위한 벼락치기
映,映画,"movie, film","film, film","영화, 영화"
映,映像,"reflection, image, picture (e.g. on a television)","réflexion, image, image (p. ex. à la télévision)","반사, 이미지, 사진(예: 텔레비전)"
映,上映,"screening (a movie), showing; to screen a movie","projection (un film), montrant; pour projeter un film","상영 (영화), 상영; 을 사용하여 영화를 화면으로 상영합니다."
映,放映,televising,Télédiffusion,텔레비전 방송
映,映画館,"movie theatre (theater), cinema","cinéma (théâtre), cinéma","영화관(극장), 영화관"
映,反映,"reflection, influence","réflexion, influence","반사, 영향"
映,映し出す,"to project, to reflect","de projeter, de refléter","프로젝트에, 반영"
映,大映,Daiei Motion Picture Company,Daiei Motion Picture Company,다이에이 모션 픽처 컴퍼니
映,映る,"to be reflected, to harmonize with (harmonise), to come out (photo), to be projected","à réfléchir, à harmoniser avec (harmoniser), sortir (photo), à projeter","(조화)와 조화를 위해, (사진) 나올, 투영될"
映,劇映画,film drama,drame de film,영화 드라마
借,借金,"debt, loan, liabilities","dette, prêt, passifs","부채, 대출, 부채"
借,借りる,"to borrow, to have a loan; to rent, to hire","d’emprunter, d’avoir un prêt; à louer, à louer","대출, 대출을; 임대, 고용"
借,借入金,"loan, loan payable, debt","prêt, prêt à payer, dette","대출, 대출 채무, 부채"
借,借款,(international) loan,prêt (international),(국제) 대출
借,借り入れ,debt,Dette,부채
借,借地,leased land,terrains loués,임대 토지
借,借り,"borrowing, debt, loan","emprunt, dette, prêt","차입금, 부채, 대출"
借,借家,"house for rent, rented house, renting a house","maison à louer, maison louée, location d’une maison","임대 주택, 임대 주택, 임대 주택"
借,貸借,"loan, debit and credit, lending and borrowing","prêts, débit et crédit, prêts et emprunts","대출, 직불 및 신용, 대출 및 대출"
借,借り手,"borrower, debtor, tenant","emprunteur, débiteur, locataire","대출자, 채무자, 세입자"
妹,妹,younger sister,sœur cadette,여동생
妹,姉妹,sisters,Sœurs,자매
妹,弟妹,younger brother and sister,frère et soeur plus jeunes,남동생과 여동생
妹,義妹,sister in law (younger),belle-sœur (plus jeune),여동생 에 법 (젊은)
妹,実妹,one's younger sister,sa sœur cadette,여동생
妹,妹さん,younger sister,sœur cadette,여동생
妹,兄妹喧嘩,quarrel between siblings,querelle entre frères et sœurs,형제 자매 사이의 싸움
妹,兄妹げんか,quarrel between siblings,querelle entre frères et sœurs,형제 자매 사이의 싸움
妹,吾妹子,my wife,Ma femme,우리 부인
妹,吾妹,my wife,Ma femme,우리 부인
堂,食堂,"dining room, dining hall, cafeteria, messroom; restaurant, eatery, snack bar, diner","salle à manger, salle à manger, cafétéria, messroom; restaurant, restaurant, snack-bar, diner","식당, 식당, 카페테리아, 엉망; 레스토랑, 식당, 스낵 바, 식당"
堂,堂,"temple, shrine, hall; prefix to building meaning ""magnificent""","temple, sanctuaire, hall; préfixe à la construction signifiant ""magnifique""","사원, 신사, 홀; ""웅장한""의미 구축 접두사"
堂,講堂,auditorium,Auditorium,강당
堂,堂々,"magnificent, grand, impressive, dignified, majestic, imposing, stately; fair, square, open; grandly, boldly, confidently; fairly, squarely; unreservedly, without apology, without hesitation","magnifique, grand, impressionnant, digne, majestueux, imposant, majestueux; juste, carré, ouvert; grand, hardiment, avec confiance; assez, carrément; sans réserve, sans excuses, sans hésitation","웅장한, 웅장한, 인상적인, 위엄있는, 장엄한, 당당한, 당당한; 공정한, 광장, 열기; 대담하고, 자신있게, 대담하게; 공정하게, 정사각형; 주저없이, 사과없이, 무조건"
堂,一堂,"one building (hall, temple, shrine, room)","un bâtiment (hall, temple, sanctuaire, chambre)","건물 1개(홀, 사원, 신사, 방)"
堂,公会堂,"town hall, public hall","mairie, salle publique",시청·공민회관
堂,会堂,"church, chapel, synagogue, tabernacle","église, chapelle, synagogue, tabernacle","교회, 예배당, 회당, 성막"
堂,任天堂,Nintendo (video game company),Nintendo (société de jeux vidéo),닌텐도 (게임 회사)
堂,聖堂,"(Confucian) temple, church, sanctuary","temple (confucéen), église, sanctuaire","(유교) 성전, 교회, 성소"
堂,殿堂,"palace, palatial building","palais, bâtiment palatial","궁전, 궁전 건물"
姉,姉,"older sister, elder sister","sœur aînée, sœur aînée","언니, 언니"
姉,姉妹,sisters,Sœurs,자매
姉,姉さん,"elder sister; (vocative) young lady; miss (referring to a waitress, etc.); ma'am (used by geisha to refer to their superiors)","sœur aînée; (vocative) jeune femme; miss (se référant à une serveuse, etc); madame (utilisée par les geishas pour désigner leurs supérieurs)",언니; (음성) 젊은 아가씨; 미스 (웨이트리스 등 참조); ma'am (게이샤가 상사를 지칭하는 데 사용)
姉,義姉,sister-in-law (elder),belle-sœur (ancienne),시누이 (장로)
姉,姉,honorific suffix used after the name of a woman of equal or higher status,suffixe honorifique utilisé après le nom d’une femme de statut égal ou supérieur,동등하거나 더 높은 지위를 입은 여성의 이름 이후에 사용되는 명예 접미사
姉,姉,used after the name of someone who is an older sister figure; used with various honorifics to mean (older) sister,utilisé après le nom de quelqu’un qui est une figure sœur aînée; utilisé avec divers honorifiques pour signifier (plus âgé) sœur,언니의 이름 이름을 따서 사용됩니다. (언니)를 의미하는 다양한 명예와 함께 사용
姉,兄姉,brother and sister,frère et sœur,형제 와 자매
姉,お姉さん,"elder sister; (vocative) young lady; miss (referring to a waitress, etc.); ma'am (used by geisha to refer to their superiors)","sœur aînée; (vocative) jeune femme; miss (se référant à une serveuse, etc); madame (utilisée par les geishas pour désigner leurs supérieurs)",언니; (음성) 젊은 아가씨; 미스 (웨이트리스 등 참조); ma'am (게이샤가 상사를 지칭하는 데 사용)
姉,お姉ギャル,"fashion style characterized by brown hair and deep-tanned skin, expensive brand-name clothes and accessories","style de mode caractérisé par les cheveux bruns et la peau bronzée profonde, vêtements de marque coûteux et accessoires","갈색 머리와 깊은 무두질 피부, 비싼 브랜드 의류 및 액세서리를 특징으로 하는 패션 스타일"
姉,姉ちゃん,"elder sister, girl","soeur aînée, fille","언니, 소녀"
飯,飯,"meals, food; cooked rice; one's livelihood","repas, nourriture; riz cuit; l’gagne-pain","식사, 음식; 밥 을 요리; 생계수단"
飯,炊飯器,rice cooker,cuiseur à riz,밥솥
飯,米飯,cooked rice,riz cuit,밥
飯,日常茶飯事,everyday occurrence,événement quotidien,매일 발생
飯,残飯,"food scraps, garbage","restes de nourriture, ordures","음식 찌꺼기, 쓰레기"
飯,赤飯,red rice (beans and mochi) for auspicious occasions,riz rouge (haricots et mochi) pour des occasions propices,상서로운 경우를 위한 붉은 쌀 (콩과 떡)
飯,飯店,(Chinese) restaurant,Restaurant (chinois),(중식) 레스토랑
飯,握り飯,rice ball,boule de riz,주먹밥
飯,夕飯,evening meal,repas du soir,저녁 식사
飯,飯,cooked rice (baby talk),riz cuit (parler bébé),밥 (아기 이야기)
貸,貸出用,circulation or lending (e.g. library books),circulation ou prêt (p. ex. livres de bibliothèque),순환 또는 대출(예: 도서관 서적)
貸,貸付,loan,Prêt,대출
貸,賃貸,"lease, rent, hire","location, loyer, location","임대, 임대, 대여"
貸,貸し出し,"lending, loaning","prêts, prêts","대출, 대출"
貸,貸し,"loan, lending","prêt, prêt","대출, 대출"
貸,貸金,loan,Prêt,대출
貸,貸与,"loan, lending","prêt, prêt","대출, 대출"
貸,貸家,house for rent,maison à louer,집 임대
貸,貸借,"loan, debit and credit, lending and borrowing","prêts, débit et crédit, prêts et emprunts","대출, 직불 및 신용, 대출 및 대출"
貸,貸す,"to lend, to loan; to rent out, to hire out","prêter, prêter; à louer, à louer","대출, 대출; 임대, 밖으로 고용"
漢,漢字,"Chinese characters, kanji","Personnages chinois, kanji","한자, 한자"
漢,漢方薬,herbal medicine,Phytothérapie,약초
漢,漢方,traditional Chinese medicine,médecine traditionnelle chinoise,중국 전통 의학
漢,漢詩,Chinese poetry,Poésie chinoise,중국어 시
漢,漢文,Chinese classical literature; literature written entirely in kanji,Littérature classique chinoise; littérature entièrement écrite en kanji,중국 고전 문학; 한자로 완전히 쓰여진 문학
漢,痴漢,"masher, molester, pervert","masher, molester, pervers","매셔, 성추행자, 변태"
漢,巨漢,giant,Géant,자이언트
漢,暴漢,"hoodlum, ruffian","hoodlum, ruffian","후드룸, 루피안"
漢,漢語,"Chinese word, Sino-Japanese word","Mot chinois, mot sino-japonais","중국어 단어, 중일본어 단어"
漢,漢和辞典,Chinese-Japanese character dictionary,Dictionnaire de caractère sino-japonais,중국어 -일본어 문자 사전
立,立場,"standpoint, position, situation","point de vue, position, situation","관점, 위치, 상황"
立,連立,"alliance, coalition","alliance, coalition","동맹, 연합"
立,国立,national,National,국가
立,成立,"coming into existence, arrangements, establishment, conclusion, completion","l’existence, les arrangements, l’établissement, la conclusion, l’achèvement","존재, 준비, 설립, 결론, 완료로 오기"
立,対立,"confrontation, opposition, antagonism","confrontation, opposition, antagonisme","대립, 반대, 적대감"
立,独立,"independence (e.g. Independence Day), self-support","l’indépendance (p. ex. le Jour de l’Indépendance), l’auto-soutien","독립기념일(예: 독립기념일), 자립"
立,私立,private (establishment),privé (établissement),개인 (설립)
立,設立,"establishment, foundation, incorporation (of a business)","l’établissement, la fondation, l’incorporation (d’une entreprise)","설립, 재단, 법인 설립 (사업의)"
立,並立,standing abreast,debout au courant,나란히 서
立,確立,establishment,Établissement,설립
手,手,"hand, arm; forepaw, foreleg; handle; hand, worker, help; trouble, care, effort; means, way, trick, move, technique, workmanship; hand, handwriting; kind, type, sort; one's hands, one's possession; ability to cope; hand (of cards)","main, bras; avant-jambe, avant-jambe; poignée; main, travailleur, aide; problèmes, soins, efforts; moyens, façon, astuce, mouvement, technique, exécution; main, écriture; genre, type, trier; les mains, la possession; capacité de faire face; main (de cartes)","손, 팔; 앞발, 앞다리; 핸들; 손, 노동자, 도움; 문제, 관리, 노력; 수단, 방법, 속임수, 이동, 기술, 솜씨; 손, 필기; 종류, 유형, 정렬; 자신의 손, 자신의 소유; 대처 능력; 손 (카드)"
手,選手,"player (in game), team member","joueur (dans le jeu), membre de l’équipe","플레이어(게임 내), 팀원"
手,選手権,"championship, title (of champion)","championnat, titre (champion)","챔피언십,타이틀(챔피언)"
手,相手,"companion, partner, company; other party, addressee; opponent (sports, etc.)","compagnon, partenaire, compagnie; autre partie, destinataire; adversaire (sports, etc.)","동반자, 파트너, 회사; 다른 당사자, 수취인; 상대 (스포츠 등)"
手,大手,"front castle gate; both arms open, outstretched arms; major companies","porte avant du château; les deux bras ouverts, bras tendus; grandes entreprises",정문 성 문; 두 팔을 벌리고 팔을 뻗어 있습니다. 주요 기업
手,投手,(baseball) pitcher,(baseball) lanceur,(야구) 투수
手,若手,young person,jeune personne,젊은 사람
手,手続き,"procedure, (legal) process, formalities","procédure, processus (juridique), formalités","절차, (법적) 절차, 절차"
手,取っ手,"handle, grip, knob","poignée, adhérence, bouton","손잡이, 그립, 손잡이"
手,歌手,singer,Chanteur,싱어
力,勢力,"influence, power, might, strength, potency, force, energy","l’influence, la puissance, la puissance, la force, la puissance, la force, l’énergie","영향, 힘, 힘, 힘, 힘, 에너지"
力,努力,"great effort, exertion, endeavour, endeavor, effort","grand effort, l’effort, l’effort, l’effort, l’effort","큰 노력, 노력, 노력, 노력, 노력"
力,協力,"cooperation, collaboration","coopération, collaboration","협력, 협력"
力,権力,"(political) power, authority, influence","pouvoir (politique), autorité, influence","(정치적) 권력, 권위, 영향력"
力,原子力,atomic energy,l’énergie atomique,원자력
力,実力,"(real) ability, true strength, merit, efficiency, competency; arms, force","(réel) capacité, véritable force, mérite, efficacité, compétence; armes, la force","(실제) 능력, 진정한 힘, 장점, 효율성, 능력; 팔, 힘"
力,能力,"ability, faculty","capacité, faculté","능력, 교수진"
力,武力,"armed might, military power, the sword, force","puissance armée, puissance militaire, l’épée, la force","무장 세력, 군사력, 칼, 힘"
力,暴力団,"gangster organization (organisation), crime syndicate, yakuza (Japanese mafia), band of thugs, group of hoodlums","organisation de gangsters (organisation), syndicat du crime, yakuza (mafia japonaise), bande de voyous, groupe de voyous","갱스터 조직 (조직), 범죄 신디케이트, 야쿠자 (일본 마피아), 깡패 밴드, 후드 룸 그룹"
力,有力,"influential, prominent; strong, likely, plausible, potent","influent, proéminent; forte, probable, plausible, puissante","영향력, 저명한; 강한, 가능성, 그럴듯한, 강력한"
目,目的,"purpose, goal, aim, objective, intention","but, but, but, objectif, intention","목적, 목표, 목표, 목적, 의도"
目,目標,"mark, objective, target","marque, objectif, cible","마크, 목표, 대상"
目,注目,"notice, attention, observation","avis, attention, observation","통지, 주의, 관찰"
目,項目,"(data) item, entry","(données) élément, entrée","(데이터) 항목, 항목"
目,名目,"name, title, appellation, (something) nominal; (under the) pretext (of), pretense","nom, titre, appellation, (quelque chose) nominal; (sous le) prétexte (de), le prétexte","이름, 직함, 명칭, (무언가) 명목; (의) 구실(의), 구실"
目,種目,"event, item of business","événement, point d’affaires","이벤트, 비즈니스 아이템"
目,目玉,"eyeball; special feature, centerpiece, showpiece, drawcard; special program, loss leader","globe oculaire; caractéristique spéciale, pièce maîtresse, pièce maîtresse, carte de tirage; programme spécial, leader de perte","안구; 특수 기능, 센터 피스, 쇼케이스, 드로 카드; 특별 프로그램, 손실 리더"
目,目前,"before one's very eyes, under one's nose, imminence, close at hand","devant ses yeux, sous le nez, l’imminence, à portée de main","눈 앞에서, 코 밑에, 임박한, 손에 가까이"
目,目の前,"before one's eyes, immediate, imminent","devant ses yeux, immédiate, imminente","눈 앞에서 즉각적으로, 임박한"
目,品目,list of articles,liste d’articles,기사 목록
田,上田,"high rice field, very fertile rice field","champ de riz élevé, champ de riz très fertile","높은 논, 매우 비옥한 논"
田,水田,(water-filled) paddy field,champ de rizières (rempli d’eau),(물이 가득한) 논
田,油田,oil field,champ pétrolifères,유전
田,田舎,"rural area, countryside, the sticks; hometown","zone rurale, campagne, bâtons; Ville natale","농촌 지역, 시골, 막대기; 고향"
田,桑田,mulberry plantation,plantation de mûriers,뽕나무 농장
田,田園,"country, rural districts; cultivated land, fields","pays, les districts ruraux; terres cultivées, champs","국가, 농촌 지역; 경작지, 들판"
田,田畑,fields (of rice and other crops),champs (de riz et d’autres cultures),밭 (쌀 및 기타 작물)
田,田植え,rice planting,plantation de riz,쌀 심기
田,票田,(favorable voting) constituency (favourable),(vote favorable) (favorable),(유리한 투표) 선거구 (유리한)
田,新田,a new rice field,un nouveau champ de riz,새로운 논
正,正,"(logical) true, regular; 10^40; original","(logique) vrai, régulier; 10 à 40; Langue source","(논리적) 사실, 일반; 10^40; 원문 언어"
正,改正,"revision, amendment, alteration","révision, modification, modification","개정, 개정, 변경"
正,修正,"amendment, correction, revision, modification, alteration, retouching, update, fix","modification, correction, révision, modification, altération, retouche, mise à jour, correctif","수정, 수정, 수정, 수정, 수정, 수정, 업데이트, 수정"
正,正式,"due form, official, formality","forme due, officielle, formalité","정당한 형식, 공식, 형식"
正,正常,"normalcy, normality, normal","normalité, normalité, normale","정상, 정상, 정상"
正,是正,"correction, revision","correction, révision","수정, 개정"
正,正義,"justice, right, righteousness, correct meaning","justice, droit, justice, sens correct","정의, 권리, 의로움, 올바른 의미"
正,正午,"noon, mid-day","midi, mi-journée","정오, 정오"
正,正面,"front, frontage, facade, main","façade, façade,","정면, 정면, 정면, 메인"
正,不正,"injustice, unfairness, iniquity, impropriety, irregularity, dishonesty, illegality, fraud","l’injustice, l’injustice, l’iniquité, l’irrégularité, l’irrégularité, la malhonnêteté, l’illégalité, la fraude","불의, 불공정, 불의, 부정, 부정, 부정, 불법, 사기"
文,文,"letter, writings","lettre, écrits","편지, 저술"
文,文化,"culture, civilization, civilisation; Bunka era (1804.2.11-1818.4.22)","culture, civilisation, civilisation; Ère Bunka (1804.2.11-1818.4.22)","문화, 문명, 문명; 분카 시대 (1804.2.11-1818.4.22)"
文,文学,literature,Littérature,문학
文,文書,"document, writing, letter, paperwork, note, records, archives","document, écriture, lettre, paperasse, note, dossiers, archives","문서, 서면, 편지, 서류, 메모, 기록, 아카이브"
文,文字,"letter (of alphabet), character; literal","lettre (de l’alphabet), caractère; Littérale","문자 (알파벳), 문자; 리터럴"
文,文部省,"Ministry of Education, Culture, Sports, Science and Technology","Ministère de l’Éducation, de la Culture, des Sports, des Sciences et de la Technologie",문화체육관광부
文,注文,"order, request","ordre, demande","주문, 요청"
文,論文,"thesis, essay, treatise, paper, article","thèse, essai, traité, papier, article","논문, 에세이, 논문, 논문, 논문, 기사"
文,文庫,"library, book collection; paperback book","bibliothèque, collection de livres; livre de poche","도서관, 책 컬렉션; 페이퍼백 북"
文,文章,"sentence, article, composition; (writing) style","phrase, article, composition; (écriture) style","문장, 기사, 구성; (쓰기) 스타일"
会,委員会,"committee, commission, board, panel, committee meeting","comité, commission, conseil, panel, réunion du comité","위원회, 위원회, 이사회, 패널, 위원회 회의"
会,会員,"member, the membership","membre, les membres","회원, 회원"
会,会議,"meeting, conference, session, assembly, council, convention, congress","réunion, conférence, session, assemblée, conseil, convention, congrès","회의, 회의, 세션, 집회, 평의회, 대회, 의회"
会,会見,"interview, audience","interview, audience","인터뷰, 청중"
会,会社,"company, corporation; workplace","société, société; Travail","회사, 법인; 직장"
会,会談,"conversation, conference, discussion, interview","conversation, conférence, discussion, entrevue","대화, 컨퍼런스, 토론, 인터뷰"
会,会長,"president (of a society), chairman","président (d’une société), président","회장(사회), 의장"
会,議会,"Diet, congress, parliament","Alimentation, Congrès, Parlement",국회·의회·의회
会,協会,"association, society, organization, organisation","association, société, organisation, organisation","협회, 사회, 조직, 조직"
会,国会,"National Diet, parliament, congress","Alimentation nationale, parlement, congrès",국회·의회·의회
同,同時,"simultaneous(ly), concurrent, same time, synchronous, together","simultanée(ly), simultanée, même temps, synchrone, ensemble","동시(ly), 동시, 동시, 동기, 함께"
同,同社,the same firm,la même entreprise,동일한 회사
同,同日,the same day,le même jour,같은 날
同,共同,"doing together (as equals), sharing, common (land, etc.), joint (statement, etc.), cooperation, co-operation, collaboration, association","faire ensemble (sur un pied d’égalité), le partage, le commun (terre, etc.), les conjoints (déclaration, etc.), la coopération, la coopération, la collaboration, l’association","함께 하는 것(동등한), 공유, 공동(토지 등), 공동(성명서 등), 협력, 협력, 협력, 협회"
同,同市,same city,même ville,같은 도시
同,共同体,"cooperative body, cooperative system, collective, community","coopérative, système coopératif, collectif,","협동조합, 협동조합제도, 단체, 공동체, 지역사회"
同,同県,the same prefecture,la même préfecture,같은 현도
同,同国,"the same country, the same province, the said country","le même pays, la même province, ledit pays","같은 나라, 같은 지방,"
同,同省,"the said ministry, the same ministry","ledit ministère, le même ministère","즉, 사역,"
同,同党,the same political party,le même parti politique,같은 정당
自,自ら,"for one's self, personally","pour soi-même, personnellement","자신의 자아를 위해, 개인적으로"
自,自衛隊,"self-defence force, self-defense force; Japan Self-Defence Force, JSDF","force d’autodéfense, force d’autodéfense; Japan Self-Defence Force, JSDF","자위력, 자위대; 일본 자위대, JSDF"
自,自身,"by oneself, personally","par soi-même, personnellement","자신에 의해, 개인적으로"
自,自然,"nature, spontaneity; naturally, spontaneously","nature, spontanéité; naturellement, spontanément","자연, 자발성; 자연적으로, 자발적으로"
自,自宅,one's home,l’un d’eux est à la maison,자신의 집
自,自動車,automobile,automobile,자동차
自,自分,"myself, yourself, oneself, himself, herself; I, me","moi-même, vous-même, soi-même, lui-même; Moi, moi","나 자신, 자신, 자신, 자신, 자신; 나, 나"
自,自由,"freedom, liberty, as it pleases you","liberté, la liberté, comme elle vous plaît","자유, 자유, 그것은 당신을 기쁘게로"
自,自民党,"Liberal Democratic Party, LDP","Parti libéral-démocrate, PLD",자유민주당
自,自民,"Liberal Democratic Party, LDP","Parti libéral-démocrate, PLD",자유민주당
社,会社,"company, corporation; workplace","société, société; Travail","회사, 법인; 직장"
社,社会,"society, public","société, public","사회, 공공"
社,社会党,Socialist Party,Parti socialiste,사회당
社,社長,"company president, manager, director","président de l’entreprise, directeur, administrateur","회사 사장, 매니저, 이사"
社,同社,the same firm,la même entreprise,동일한 회사
社,本社,"head office, main office, headquarters; main shrine; this company, this shrine","siège social, bureau principal, siège social; sanctuaire principal; cette soci été, ce sanctuaire","본사, 본사, 본사; 본전; 이 회사, 이 신사"
社,社員,"company employee; company stockholders (esp. in legal contexts), members of a corporation","employé de l’entreprise; actionnaires de sociétés (esp. dans des contextes juridiques), membres d’une société","회사 직원; 회사 주주(법적 맥락에서 ESP), 법인의 구성원"
社,副社長,executive vice-president,vice-président exécutif,수석 부사장
社,民社党,Democratic Socialist Party,Parti socialiste démocratique,민주사회당
社,自社,"one's company, company one works for; in-house, belonging to the company","l’entreprise, l’entreprise pour qui on travaille; en interne, appartenant à l’entreprise","하나의 회사, 회사 하나 에 대 한 작동; 사내, 회사에 소속"
地,地,"earth, ground, land, soil; place; territory; bottom (of a package, book, etc.)","terre, terre, terre, sol; lieu; territoire; bas (d’un paquet, livre, etc.)","지구, 땅, 땅, 토양; 장소; 영토; 바닥(패키지, 책 등)"
地,現地,"actual place, local","lieu réel, local","실제 장소, 로컬"
地,地域,"area, region","région, région","지역, 지역"
地,地球,the earth,la terre,지구
地,地区,"district, section, sector","district, section, secteur","지구, 구간, 구간"
地,地元,"home area, home town; local","région d’origine, ville natale; Local","홈 지역, 고향; 로컬"
地,地方,"area, locality, district, region, province; countryside, rural area; coast (esp. as seen from the water); person singing ballads in Noh, person in charge of music in a Japanese dance performance","région, localité, district, région, province; campagne, zone rurale; côte (esp. vu de l’eau); personne chantant des ballades à Noh, personne en charge de la musique dans un spectacle de danse japonais","지역, 지역, 지구, 지역, 지방; 시골, 농촌 지역; 해안 (물에서 본 대로 esp. ); 일본 무용공연에서 음악을 담당하는 노에서 발라드를 부르는 사람"
地,土地,"plot of land, lot, soil","parcelle de terre, lot, sol","토지, 부지, 토양의 플롯"
地,基地,base,Base,기본
地,地検,District Public Prosecutor's Office,Bureau du procureur de district,지방 검찰청
